time,x,y,z,TgF
52.0070,-0.1599,0.0703,0.9244,0.94
52.1060,-0.1521,0.0117,1.0067,1.02
52.2070,-0.1594,-0.0518,1.0104,1.02
52.3080,-0.2107,-0.0762,1.0763,1.10
52.4090,-0.2788,-0.0271,1.0165,1.05
52.5090,-0.2112,-0.0945,1.0162,1.04
52.6100,-0.1968,-0.1419,0.9850,1.01
52.7120,-0.3184,-0.0921,0.9762,1.03
52.8120,-0.3223,-0.1250,0.9591,1.02
52.9130,-0.3128,-0.1262,0.9613,1.02
53.0120,-0.3008,-0.1043,0.9576,1.01
53.1130,-0.2874,-0.0894,1.0040,1.05
53.2130,-0.2454,-0.0628,1.0284,1.06
53.3140,-0.2058,-0.0432,1.0233,1.04
53.4140,-0.1538,-0.0525,1.0099,1.02
53.5160,-0.0652,-0.0754,0.9435,0.95
53.6170,-0.0256,-0.0837,0.9637,0.97
53.7190,0.0371,-0.1021,0.9798,0.99
53.8200,-0.0667,-0.0857,1.1539,1.16
53.9200,-0.0803,0.0178,1.0462,1.05
54.0200,-0.1155,0.0095,1.0414,1.05
54.1200,-0.0825,0.0544,0.8885,0.89
54.2200,-0.0352,0.1550,0.9920,1.00
54.3220,0.0862,0.0820,1.1031,1.11
54.4220,-0.1731,0.1204,0.9400,0.96
54.5230,-0.0813,0.1104,0.9200,0.93
54.6240,-0.1497,0.1338,1.0082,1.03
54.7240,-0.3245,0.1726,0.9815,1.05
54.8250,-0.2857,0.1382,0.9444,1.00
54.9260,-0.1946,0.2139,0.9161,0.96
55.0260,-0.0874,0.1624,0.9601,0.98
55.1280,-0.1192,0.1780,0.9579,0.98
55.2290,-0.0877,0.2112,0.9837,1.01
55.3290,-0.1470,0.2483,1.1178,1.15
